time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, r19_l, r19_r, r20_l, r20_r, r21_l, r21_r, r22_l, r22_r, r23_l, r23_r, 
1.0, 0.994444, 1.000000, 1.000000, 1.000000, 1.000000, 0.989691, 1.000000, 0.990950, 1.000000, 0.995434, 1.000000, 0.992958, 0.994792, 0.994595, 1.000000, 0.991045, 1.000000, 0.993151, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.992754, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.994565, 1.000000, 0.995763, 1.000000, 0.996805, 1.000000, 0.991561, 1.000000, 0.992718, 1.000000, 0.995338, 1.000000, 
2.0, 0.982222, 1.000000, 1.000000, 0.989130, 0.977273, 0.979381, 0.985612, 0.981900, 0.985612, 0.981735, 0.985507, 0.982394, 0.973958, 0.983784, 1.000000, 0.979104, 0.990196, 0.982877, 0.985507, 1.000000, 0.973684, 1.000000, 0.968750, 0.991453, 1.000000, 1.000000, 0.978261, 1.000000, 0.980392, 0.987261, 0.976744, 0.993289, 0.980392, 0.995495, 1.000000, 0.989130, 1.000000, 0.995763, 0.980392, 0.996805, 0.983333, 0.983122, 0.977901, 0.983010, 0.967742, 0.983683, 0.962963, 
3.0, 0.978889, 1.000000, 1.000000, 0.978261, 0.977273, 0.969072, 0.985612, 0.972851, 0.985612, 0.977169, 0.985507, 0.975352, 0.968750, 0.978378, 1.000000, 0.973134, 0.990196, 0.979452, 0.985507, 1.000000, 0.973684, 1.000000, 0.968750, 0.991453, 1.000000, 0.966667, 0.978261, 1.000000, 0.980392, 0.987261, 0.976744, 0.993289, 0.980392, 0.995495, 1.000000, 0.989130, 1.000000, 0.995763, 0.980392, 0.996805, 0.983333, 0.974684, 0.972376, 0.978155, 0.967742, 0.981352, 0.944444, 
4.0, 0.971111, 1.000000, 1.000000, 0.945652, 0.977273, 0.953608, 0.985612, 0.959276, 0.985612, 0.963470, 0.985507, 0.964789, 0.963542, 0.962162, 1.000000, 0.964179, 0.980392, 0.969178, 0.985507, 1.000000, 0.973684, 1.000000, 0.968750, 0.991453, 0.973684, 0.966667, 0.978261, 1.000000, 0.960784, 0.980892, 0.965116, 0.993289, 0.960784, 0.990991, 0.973684, 0.983696, 1.000000, 0.991525, 0.960784, 0.990415, 0.966667, 0.962025, 0.966851, 0.970874, 0.967742, 0.972028, 0.925926, 
5.0, 0.962222, 0.967742, 1.000000, 0.934783, 0.977273, 0.948454, 0.978417, 0.954751, 0.978417, 0.954338, 0.985507, 0.957746, 0.953125, 0.956757, 1.000000, 0.958209, 0.980392, 0.962329, 0.985507, 1.000000, 0.973684, 1.000000, 0.968750, 0.991453, 0.973684, 0.933333, 0.971014, 0.986111, 0.960784, 0.974522, 0.965116, 0.973154, 0.960784, 0.977477, 0.973684, 0.972826, 0.966667, 0.978814, 0.960784, 0.977636, 0.966667, 0.957806, 0.955801, 0.966019, 0.935484, 0.958042, 0.888889, 
6.0, 0.960000, 0.967742, 1.000000, 0.934783, 0.977273, 0.948454, 0.978417, 0.954751, 0.978417, 0.954338, 0.985507, 0.957746, 0.953125, 0.956757, 1.000000, 0.955224, 0.980392, 0.962329, 0.985507, 1.000000, 0.973684, 1.000000, 0.968750, 0.991453, 0.973684, 0.933333, 0.971014, 0.986111, 0.960784, 0.974522, 0.965116, 0.973154, 0.960784, 0.977477, 0.973684, 0.972826, 0.966667, 0.978814, 0.960784, 0.977636, 0.966667, 0.957806, 0.955801, 0.963592, 0.935484, 0.958042, 0.888889, 
7.0, 0.953333, 0.903226, 1.000000, 0.891304, 0.977273, 0.922680, 0.978417, 0.932127, 0.978417, 0.931507, 0.985507, 0.940141, 0.953125, 0.924324, 1.000000, 0.937313, 0.980392, 0.945205, 0.985507, 1.000000, 0.947368, 1.000000, 0.937500, 0.991453, 0.973684, 0.933333, 0.971014, 0.986111, 0.960784, 0.974522, 0.965116, 0.973154, 0.960784, 0.977477, 0.973684, 0.972826, 0.900000, 0.978814, 0.960784, 0.977636, 0.966667, 0.936709, 0.955801, 0.949029, 0.935484, 0.958042, 0.888889, 
8.0, 0.945556, 0.903226, 1.000000, 0.880435, 0.977273, 0.912371, 0.978417, 0.923077, 0.978417, 0.922374, 0.985507, 0.929577, 0.953125, 0.913514, 1.000000, 0.928358, 0.980392, 0.938356, 0.985507, 1.000000, 0.947368, 1.000000, 0.937500, 0.982906, 0.973684, 0.933333, 0.971014, 0.972222, 0.960784, 0.968153, 0.953488, 0.966443, 0.960784, 0.972973, 0.973684, 0.967391, 0.900000, 0.974576, 0.960784, 0.971246, 0.950000, 0.928270, 0.955801, 0.936893, 0.935484, 0.953380, 0.888889, 
9.0, 0.934444, 0.870968, 0.971429, 0.869565, 0.954545, 0.902062, 0.971223, 0.914027, 0.971223, 0.913242, 0.971014, 0.922535, 0.942708, 0.902703, 0.988095, 0.922388, 0.970588, 0.931507, 0.971014, 1.000000, 0.921053, 0.987013, 0.906250, 0.974359, 0.947368, 0.933333, 0.963768, 0.930556, 0.941176, 0.955414, 0.941860, 0.953020, 0.941176, 0.963964, 0.947368, 0.945652, 0.866667, 0.961864, 0.941176, 0.955272, 0.933333, 0.924051, 0.944751, 0.932039, 0.935484, 0.937063, 0.870370, 
10.0, 0.927778, 0.838710, 0.971429, 0.847826, 0.954545, 0.886598, 0.964029, 0.900452, 0.964029, 0.894977, 0.971014, 0.908451, 0.937500, 0.897297, 0.988095, 0.910448, 0.970588, 0.917808, 0.971014, 1.000000, 0.921053, 0.987013, 0.906250, 0.974359, 0.947368, 0.933333, 0.956522, 0.930556, 0.921569, 0.949045, 0.930233, 0.953020, 0.921569, 0.963964, 0.947368, 0.940217, 0.833333, 0.961864, 0.921569, 0.955272, 0.916667, 0.911392, 0.939227, 0.922330, 0.935484, 0.932401, 0.851852, 
