rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 3, 3, 1, 3.4444, 4.0000, 0.0000, 0.0000, 37.0000, 80.0000, -43.0000
r2, 3, 3, 0, 6.3333, 3.6667, 0.0000, 0.0000, 49.0000, 80.0000, -31.0000
r3, 3, 3, 0, 9.8889, 11.5556, 0.0000, 0.0000, 47.0000, 72.0000, -25.0000
r4, 3, 3, 0, 22.1111, 15.6667, 0.0000, 0.0000, 54.0000, 68.0000, -14.0000
r5, 3, 3, 0, 25.7778, 19.0000, 0.0000, 0.0000, 55.0000, 65.0000, -10.0000
r6, 3, 3, 0, 30.7778, 15.8889, 0.0000, 0.0000, 56.0000, 66.0000, -10.0000
r7, 3, 3, 0, 33.1111, 12.8889, 0.0000, 0.0000, 56.0000, 67.0000, -11.0000
r8, 3, 3, 1, 30.3333, 21.4444, 0.0000, 0.0001, 56.0000, 65.0000, -9.0000
r9, 3, 3, 0, 31.8889, 15.6667, 0.0000, 0.0000, 56.0000, 66.0000, -10.0000
r10, 2, 2, 0, 42.8889, 28.0000, 0.0000, 0.0013, 58.0000, 65.0000, -7.0000
r11, 3, 3, 0, 6.7778, 6.2222, 0.0000, 0.0000, 77.0000, 49.0000, 28.0000
r12, 3, 3, 0, 7.8889, 6.2222, 0.0000, 0.0000, 71.0000, 49.0000, 22.0000
r13, 3, 3, 0, 13.0000, 6.2222, 0.0000, 0.0000, 67.0000, 49.0000, 18.0000
r14, 3, 3, 0, 16.1111, 6.2222, 0.0000, 0.0000, 66.0000, 49.0000, 17.0000
r15, 3, 3, 0, 22.4444, 6.8889, 0.0000, 0.0000, 65.0000, 49.0000, 16.0000
r16, 3, 3, 0, 23.6667, 6.0000, 0.0000, 0.0000, 65.0000, 49.0000, 16.0000
r17, 2, 2, 0, 29.3333, 31.1111, 0.0000, 0.0001, 65.0000, 56.0000, 9.0000
r18, 3, 3, 0, 20.5556, 5.5556, 0.0000, 0.0000, 65.0000, 42.0000, 23.0000
r19, 3, 3, 0, 28.5556, 7.2222, 0.0000, 0.0000, 65.0000, 49.0000, 16.0000
r20, 3, 3, 0, 30.1111, 3.5556, 0.0000, 0.0000, 65.0000, 37.0000, 28.0000
r21, 2, 2, 0, 39.3333, 7.7778, 0.0000, 0.0001, 65.0000, 49.0000, 16.0000
r22, 1, 1, 0, 47.0000, 39.1111, 0.0000, 0.0410, 63.0000, 58.0000, 5.0000
r23, 2, 2, 0, 38.3333, 16.3333, 0.0000, 0.0001, 58.0000, 66.0000, -8.0000
