time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, 
0.5, 0.990783, 1.000000, 0.935484, 0.950000, 1.000000, 0.976471, 1.000000, 
31.0, 0.981567, 1.000000, 0.903226, 0.900000, 1.000000, 0.952941, 1.000000, 
60.0, 0.976959, 1.000000, 0.870968, 0.900000, 1.000000, 0.941176, 1.000000, 
61.0, 0.972350, 1.000000, 0.838710, 0.875000, 1.000000, 0.929412, 1.000000, 
152.0, 0.967742, 1.000000, 0.838710, 0.875000, 1.000000, 0.929412, 1.000000, 
153.0, 0.963134, 1.000000, 0.806452, 0.850000, 1.000000, 0.917647, 1.000000, 
174.0, 0.958525, 1.000000, 0.806452, 0.850000, 1.000000, 0.917647, 1.000000, 
273.0, 0.953917, 1.000000, 0.806452, 0.850000, 1.000000, 0.905882, 1.000000, 
277.0, 0.949309, 1.000000, 0.774194, 0.825000, 1.000000, 0.894118, 1.000000, 
517.0, 0.944700, 1.000000, 0.774194, 0.825000, 1.000000, 0.882353, 1.000000, 
518.0, 0.935484, 1.000000, 0.741935, 0.800000, 1.000000, 0.858824, 1.000000, 
547.0, 0.926267, 1.000000, 0.677419, 0.750000, 1.000000, 0.835294, 1.000000, 
566.0, 0.921659, 1.000000, 0.645161, 0.725000, 1.000000, 0.823529, 1.000000, 
638.0, 0.917051, 1.000000, 0.645161, 0.700000, 1.000000, 0.811765, 1.000000, 
760.0, 0.912442, 1.000000, 0.612903, 0.675000, 1.000000, 0.800000, 1.000000, 
791.0, 0.907834, 1.000000, 0.580645, 0.650000, 1.000000, 0.788235, 1.000000, 
792.0, 0.903226, 1.000000, 0.580645, 0.650000, 1.000000, 0.788235, 1.000000, 
809.0, 0.898618, 1.000000, 0.580645, 0.650000, 1.000000, 0.788235, 1.000000, 
822.0, 0.894009, 1.000000, 0.580645, 0.650000, 1.000000, 0.788235, 1.000000, 
845.0, 0.889401, 1.000000, 0.580645, 0.625000, 1.000000, 0.776471, 1.000000, 
