time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, 
0.5, 0.990783, 1.000000, 0.953488, 0.937500, 1.000000, 0.967742, 1.000000, 0.978022, 1.000000, 
31.0, 0.981567, 1.000000, 0.930233, 0.906250, 1.000000, 0.935484, 1.000000, 0.956044, 1.000000, 
32.0, 0.976959, 1.000000, 0.930233, 0.906250, 1.000000, 0.935484, 1.000000, 0.956044, 1.000000, 
60.0, 0.972350, 1.000000, 0.906977, 0.875000, 1.000000, 0.919355, 1.000000, 0.945055, 1.000000, 
61.0, 0.963134, 1.000000, 0.860465, 0.812500, 1.000000, 0.887097, 1.000000, 0.923077, 1.000000, 
152.0, 0.958525, 1.000000, 0.860465, 0.812500, 1.000000, 0.887097, 1.000000, 0.923077, 0.980000, 
153.0, 0.953917, 1.000000, 0.837209, 0.781250, 1.000000, 0.870968, 1.000000, 0.912088, 0.980000, 
174.0, 0.949309, 1.000000, 0.837209, 0.781250, 1.000000, 0.870968, 1.000000, 0.912088, 0.980000, 
273.0, 0.944700, 1.000000, 0.837209, 0.781250, 1.000000, 0.854839, 1.000000, 0.901099, 0.980000, 
277.0, 0.940092, 1.000000, 0.813953, 0.750000, 1.000000, 0.838710, 1.000000, 0.890110, 0.980000, 
362.0, 0.935484, 0.988506, 0.813953, 0.750000, 1.000000, 0.838710, 1.000000, 0.890110, 0.980000, 
365.0, 0.930876, 0.988506, 0.790698, 0.718750, 1.000000, 0.822581, 1.000000, 0.879121, 0.980000, 
499.0, 0.926267, 0.988506, 0.790698, 0.718750, 1.000000, 0.806452, 1.000000, 0.868132, 0.980000, 
517.0, 0.921659, 0.988506, 0.790698, 0.718750, 1.000000, 0.806452, 1.000000, 0.857143, 0.980000, 
518.0, 0.912442, 0.988506, 0.767442, 0.687500, 1.000000, 0.774194, 1.000000, 0.835165, 0.980000, 
547.0, 0.907834, 0.988506, 0.744186, 0.656250, 1.000000, 0.758065, 1.000000, 0.824176, 0.980000, 
566.0, 0.903226, 0.988506, 0.720930, 0.656250, 1.000000, 0.758065, 1.000000, 0.813187, 0.980000, 
760.0, 0.898618, 0.988506, 0.697674, 0.625000, 1.000000, 0.741935, 1.000000, 0.802198, 0.980000, 
791.0, 0.894009, 0.988506, 0.674419, 0.593750, 1.000000, 0.725806, 1.000000, 0.791209, 0.980000, 
792.0, 0.889401, 0.977011, 0.674419, 0.593750, 1.000000, 0.725806, 1.000000, 0.791209, 0.980000, 
809.0, 0.884793, 0.977011, 0.674419, 0.593750, 1.000000, 0.725806, 1.000000, 0.791209, 0.980000, 
822.0, 0.880184, 0.977011, 0.674419, 0.593750, 1.000000, 0.725806, 1.000000, 0.791209, 0.980000, 
845.0, 0.875576, 0.977011, 0.674419, 0.593750, 1.000000, 0.709677, 1.000000, 0.780220, 0.980000, 
1005.0, 0.870968, 0.965517, 0.674419, 0.593750, 0.980769, 0.709677, 0.979592, 0.780220, 0.960000, 
1077.0, 0.866359, 0.965517, 0.674419, 0.593750, 0.980769, 0.709677, 0.979592, 0.780220, 0.960000, 
1125.0, 0.861751, 0.965517, 0.674419, 0.593750, 0.980769, 0.693548, 0.979592, 0.769231, 0.960000, 
1249.0, 0.857143, 0.965517, 0.674419, 0.593750, 0.980769, 0.693548, 0.979592, 0.769231, 0.960000, 
1369.0, 0.852535, 0.965517, 0.674419, 0.593750, 0.980769, 0.677419, 0.979592, 0.758242, 0.960000, 
1392.0, 0.847926, 0.965517, 0.674419, 0.593750, 0.980769, 0.661290, 0.979592, 0.747253, 0.960000, 
1434.0, 0.843318, 0.965517, 0.651163, 0.562500, 0.980769, 0.645161, 0.979592, 0.736264, 0.960000, 
1492.0, 0.838710, 0.965517, 0.627907, 0.531250, 0.980769, 0.629032, 0.979592, 0.725275, 0.960000, 
1554.0, 0.834101, 0.965517, 0.627907, 0.531250, 0.980769, 0.629032, 0.979592, 0.725275, 0.960000, 
1625.0, 0.829493, 0.965517, 0.627907, 0.531250, 0.980769, 0.612903, 0.979592, 0.714286, 0.960000, 
1673.0, 0.824885, 0.954023, 0.627907, 0.531250, 0.980769, 0.612903, 0.979592, 0.714286, 0.960000, 
1674.0, 0.820276, 0.954023, 0.604651, 0.500000, 0.980769, 0.596774, 0.979592, 0.703297, 0.960000, 
1706.0, 0.811060, 0.942529, 0.604651, 0.500000, 0.980769, 0.580645, 0.979592, 0.692308, 0.960000, 
1766.0, 0.806452, 0.942529, 0.604651, 0.500000, 0.980769, 0.580645, 0.979592, 0.692308, 0.960000, 
1767.0, 0.797235, 0.942529, 0.581395, 0.468750, 0.980769, 0.564516, 0.979592, 0.681319, 0.960000, 
