time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
41.0, 0.994681, 0.977778, 1.000000, 0.972222, 1.000000, 0.980952, 1.000000, 0.985185, 1.000000, 0.987879, 1.000000, 1.000000, 0.966667, 
43.0, 0.992021, 0.977778, 1.000000, 0.972222, 1.000000, 0.971429, 1.000000, 0.977778, 1.000000, 0.981818, 1.000000, 1.000000, 0.933333, 
51.0, 0.989362, 0.955556, 1.000000, 0.958333, 1.000000, 0.961905, 1.000000, 0.970370, 1.000000, 0.975758, 1.000000, 1.000000, 0.900000, 
71.0, 0.986702, 0.933333, 1.000000, 0.944444, 1.000000, 0.952381, 1.000000, 0.962963, 1.000000, 0.969697, 1.000000, 1.000000, 0.866667, 
77.0, 0.984043, 0.911111, 1.000000, 0.930556, 1.000000, 0.942857, 1.000000, 0.955556, 1.000000, 0.963636, 1.000000, 1.000000, 0.833333, 
94.0, 0.981383, 0.888889, 1.000000, 0.916667, 1.000000, 0.933333, 1.000000, 0.948148, 1.000000, 0.957576, 1.000000, 1.000000, 0.833333, 
110.0, 0.978723, 0.866667, 1.000000, 0.902778, 1.000000, 0.923810, 1.000000, 0.940741, 1.000000, 0.951515, 1.000000, 1.000000, 0.833333, 
111.0, 0.976064, 0.844444, 1.000000, 0.888889, 1.000000, 0.914286, 1.000000, 0.933333, 1.000000, 0.945455, 1.000000, 1.000000, 0.800000, 
131.0, 0.973404, 0.822222, 1.000000, 0.875000, 1.000000, 0.904762, 1.000000, 0.925926, 1.000000, 0.939394, 1.000000, 1.000000, 0.766667, 
140.0, 0.970745, 0.800000, 1.000000, 0.861111, 1.000000, 0.895238, 1.000000, 0.918519, 1.000000, 0.933333, 1.000000, 1.000000, 0.766667, 
179.0, 0.968085, 0.777778, 1.000000, 0.847222, 1.000000, 0.885714, 1.000000, 0.911111, 1.000000, 0.927273, 1.000000, 1.000000, 0.766667, 
186.0, 0.965426, 0.755556, 1.000000, 0.833333, 1.000000, 0.876190, 1.000000, 0.903704, 1.000000, 0.921212, 1.000000, 1.000000, 0.766667, 
191.0, 0.962766, 0.755556, 1.000000, 0.833333, 1.000000, 0.876190, 1.000000, 0.903704, 1.000000, 0.921212, 0.995261, 0.994624, 0.766667, 
193.0, 0.960106, 0.755556, 1.000000, 0.833333, 1.000000, 0.876190, 1.000000, 0.903704, 0.994898, 0.921212, 0.990521, 0.989247, 0.766667, 
198.0, 0.957447, 0.755556, 1.000000, 0.833333, 0.994444, 0.876190, 0.994444, 0.903704, 0.989796, 0.921212, 0.985782, 0.983871, 0.766667, 
207.0, 0.954787, 0.733333, 1.000000, 0.819444, 0.994444, 0.866667, 0.994444, 0.896296, 0.989796, 0.915152, 0.985782, 0.983871, 0.766667, 
