time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
41.0, 0.997340, 0.974359, 1.000000, 0.983051, 1.000000, 0.989796, 1.000000, 0.991870, 1.000000, 0.993711, 1.000000, 1.000000, 0.968750, 0.992806, 1.000000, 
43.0, 0.994681, 0.974359, 1.000000, 0.966102, 1.000000, 0.979592, 1.000000, 0.991870, 1.000000, 0.987421, 1.000000, 1.000000, 0.937500, 0.992806, 1.000000, 
51.0, 0.992021, 0.948718, 1.000000, 0.949153, 1.000000, 0.969388, 1.000000, 0.983740, 1.000000, 0.981132, 1.000000, 1.000000, 0.906250, 0.985612, 1.000000, 
71.0, 0.989362, 0.923077, 1.000000, 0.932203, 1.000000, 0.959184, 1.000000, 0.975610, 1.000000, 0.974843, 1.000000, 1.000000, 0.875000, 0.978417, 1.000000, 
77.0, 0.986702, 0.897436, 1.000000, 0.915254, 1.000000, 0.948980, 1.000000, 0.967480, 1.000000, 0.968553, 1.000000, 1.000000, 0.843750, 0.971223, 1.000000, 
94.0, 0.984043, 0.871795, 1.000000, 0.898305, 1.000000, 0.938776, 1.000000, 0.959350, 1.000000, 0.962264, 1.000000, 1.000000, 0.843750, 0.971223, 1.000000, 
111.0, 0.981383, 0.846154, 1.000000, 0.881356, 1.000000, 0.928571, 1.000000, 0.951220, 1.000000, 0.955975, 1.000000, 1.000000, 0.812500, 0.964029, 1.000000, 
130.0, 0.978723, 0.820513, 1.000000, 0.881356, 1.000000, 0.918367, 1.000000, 0.943089, 1.000000, 0.949686, 1.000000, 1.000000, 0.781250, 0.956835, 1.000000, 
131.0, 0.976064, 0.794872, 1.000000, 0.864407, 1.000000, 0.908163, 1.000000, 0.934959, 1.000000, 0.943396, 1.000000, 1.000000, 0.750000, 0.949640, 1.000000, 
179.0, 0.973404, 0.769231, 1.000000, 0.847458, 1.000000, 0.897959, 1.000000, 0.926829, 1.000000, 0.937107, 1.000000, 1.000000, 0.750000, 0.942446, 1.000000, 
