time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, 
1.0, 0.996203, 1.000000, 1.000000, 0.987500, 0.996429, 0.991342, 1.000000, 0.993789, 1.000000, 0.994220, 1.000000, 0.995098, 1.000000, 1.000000, 0.989691, 1.000000, 0.995643, 1.000000, 1.000000, 0.992248, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.986667, 0.996564, 0.995851, 
2.0, 0.993645, 1.000000, 0.996324, 0.974840, 0.996429, 0.991342, 1.000000, 0.987459, 1.000000, 0.988371, 1.000000, 0.990147, 0.996845, 1.000000, 0.979381, 1.000000, 0.991247, 1.000000, 1.000000, 0.988311, 1.000000, 0.993421, 1.000000, 0.995455, 1.000000, 1.000000, 0.986667, 0.993115, 0.991649, 
3.0, 0.987226, 1.000000, 0.988888, 0.949519, 0.992844, 0.982491, 0.992126, 0.974799, 0.992188, 0.976675, 0.992157, 0.975295, 0.990476, 1.000000, 0.979381, 1.000000, 0.984639, 0.994652, 1.000000, 0.980436, 0.992188, 0.986798, 0.975610, 0.990888, 0.976744, 1.000000, 0.973333, 0.986170, 0.979043, 
4.0, 0.984645, 0.973684, 0.988888, 0.924199, 0.992844, 0.978025, 0.992126, 0.961973, 0.992188, 0.964836, 0.992157, 0.965292, 0.990476, 1.000000, 0.968962, 1.000000, 0.980193, 0.994652, 1.000000, 0.972465, 0.992188, 0.986798, 0.950594, 0.990888, 0.952921, 1.000000, 0.959815, 0.986170, 0.970566, 
5.0, 0.975552, 0.973684, 0.981397, 0.924199, 0.989234, 0.978025, 0.984221, 0.949061, 0.984344, 0.952851, 0.984283, 0.955131, 0.977654, 1.000000, 0.968962, 1.000000, 0.971242, 0.989305, 0.980769, 0.964428, 0.984344, 0.973372, 0.925578, 0.976932, 0.929098, 1.000000, 0.959815, 0.972182, 0.961977, 
6.0, 0.975552, 0.973684, 0.981397, 0.924199, 0.989234, 0.978025, 0.984221, 0.949061, 0.984344, 0.952851, 0.984283, 0.955131, 0.977654, 1.000000, 0.968962, 1.000000, 0.971242, 0.989305, 0.980769, 0.964428, 0.984344, 0.973372, 0.925578, 0.976932, 0.929098, 1.000000, 0.959815, 0.972182, 0.961977, 
7.0, 0.971586, 0.973684, 0.977593, 0.911182, 0.989234, 0.973433, 0.980236, 0.942515, 0.980391, 0.946820, 0.980314, 0.950023, 0.974406, 1.000000, 0.968962, 1.000000, 0.966671, 0.983899, 0.980769, 0.960324, 0.980391, 0.973372, 0.925578, 0.972213, 0.929098, 1.000000, 0.959815, 0.968634, 0.957625, 
8.0, 0.968935, 0.973684, 0.977593, 0.911182, 0.989234, 0.968842, 0.980236, 0.942515, 0.980391, 0.946820, 0.980314, 0.950023, 0.974406, 1.000000, 0.968962, 1.000000, 0.964381, 0.983899, 0.980769, 0.960324, 0.980391, 0.973372, 0.899868, 0.972213, 0.904648, 1.000000, 0.959815, 0.968634, 0.957625, 
9.0, 0.964953, 0.973684, 0.977593, 0.898165, 0.985529, 0.955067, 0.980236, 0.929425, 0.980391, 0.934758, 0.980314, 0.939808, 0.974406, 1.000000, 0.958315, 1.000000, 0.957508, 0.983899, 0.941538, 0.948012, 0.980391, 0.973372, 0.899868, 0.972213, 0.904648, 1.000000, 0.959815, 0.968634, 0.948919, 
10.0, 0.962291, 0.973684, 0.977593, 0.898165, 0.985529, 0.950475, 0.976185, 0.929425, 0.976373, 0.934758, 0.976280, 0.934700, 0.971103, 1.000000, 0.958315, 1.000000, 0.955218, 0.983899, 0.941538, 0.948012, 0.976373, 0.973372, 0.874157, 0.972213, 0.880198, 1.000000, 0.959815, 0.968634, 0.944566, 
11.0, 0.960961, 0.973684, 0.977593, 0.898165, 0.985529, 0.950475, 0.976185, 0.929425, 0.976373, 0.934758, 0.976280, 0.934700, 0.971103, 1.000000, 0.958315, 1.000000, 0.952927, 0.983899, 0.941538, 0.948012, 0.976373, 0.973372, 0.874157, 0.972213, 0.880198, 1.000000, 0.959815, 0.968634, 0.944566, 
