rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 8, 6, 2, 7.9747, 33.7975, 0.0000, 0.0000, 190.0000, 1168.0000, -978.0000
r2, 4, 3, 1, 17.2152, 49.3671, 0.0000, 0.0000, 331.0000, 869.0000, -538.0000
r3, 4, 3, 1, 19.2405, 26.7089, 0.0000, 0.0000, 339.0000, 1207.0000, -868.0000
r4, 2, 2, 1, 26.4557, 33.1646, 0.0000, 0.0000, 363.0000, 1207.0000, -844.0000
r5, 3, 3, 1, 29.3671, 49.4937, 0.0000, 0.0000, 458.0000, 956.0000, -498.0000
r6, 5, 4, 2, 24.0506, 53.0380, 0.0000, 0.0000, 320.0000, 1138.0000, -818.0000
r7, 4, 3, 1, 33.6709, 53.7975, 0.0000, 0.0000, 377.0000, 1138.0000, -761.0000
r8, 7, 5, 1, 12.1519, 7.3418, 0.0000, 0.0000, 1481.0000, 251.0000, 1230.0000
r9, 6, 4, 2, 21.2658, 11.0127, 0.0000, 0.0000, 1327.0000, 272.0000, 1055.0000
r10, 4, 4, 2, 27.5949, 26.4557, 0.0000, 0.0000, 1327.0000, 363.0000, 964.0000
r11, 4, 3, 1, 31.1392, 11.7722, 0.0000, 0.0000, 1207.0000, 360.0000, 847.0000
r12, 4, 3, 1, 14.1772, 11.8987, 0.0000, 0.0000, 1425.0000, 353.0000, 1072.0000
r13, 5, 4, 3, 32.1519, 32.9114, 0.0000, 0.0000, 390.0000, 1207.0000, -817.0000
r14, 4, 3, 1, 16.9620, 11.3924, 0.0000, 0.0000, 1207.0000, 360.0000, 847.0000
r15, 7, 4, 1, 36.3291, 10.2532, 0.0000, 0.0000, 869.0000, 360.0000, 509.0000
r16, 3, 3, 1, 37.3418, 31.0127, 0.0000, 0.0000, 956.0000, 424.0000, 532.0000
