time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, 
1.0, 0.997468, 0.984127, 1.000000, 0.992647, 1.000000, 0.993421, 1.000000, 0.995215, 1.000000, 0.995690, 1.000000, 0.989474, 1.000000, 0.992481, 1.000000, 1.000000, 0.982759, 1.000000, 0.988506, 1.000000, 0.995215, 1.000000, 1.000000, 1.000000, 0.989362, 0.996063, 1.000000, 1.000000, 1.000000, 0.996516, 0.987654, 1.000000, 0.995918, 
2.0, 0.994914, 0.968254, 0.996241, 0.985184, 0.997429, 0.986798, 1.000000, 0.990384, 1.000000, 0.991342, 0.997436, 0.984096, 0.997596, 0.988664, 0.997630, 1.000000, 0.982759, 1.000000, 0.977011, 1.000000, 0.990384, 1.000000, 0.989130, 1.000000, 0.989362, 0.988126, 1.000000, 0.992366, 1.000000, 0.996516, 0.987654, 0.996599, 0.991803, 
3.0, 0.987221, 0.936508, 0.992467, 0.962793, 0.994845, 0.973553, 0.995192, 0.975891, 0.992278, 0.978298, 0.992268, 0.967963, 0.992753, 0.973395, 0.992857, 1.000000, 0.982759, 1.000000, 0.977011, 0.995349, 0.975891, 0.991803, 0.978261, 1.000000, 0.978723, 0.976221, 0.992218, 0.992366, 1.000000, 0.996516, 0.987654, 0.989749, 0.979457, 
4.0, 0.982066, 0.920635, 0.992467, 0.947749, 0.989664, 0.966884, 0.995192, 0.966132, 0.988417, 0.969563, 0.987086, 0.957087, 0.987899, 0.965670, 0.988072, 1.000000, 0.965209, 1.000000, 0.965240, 0.990698, 0.966132, 0.987705, 0.967391, 1.000000, 0.967968, 0.968252, 0.988327, 0.992366, 0.988636, 0.993007, 0.975309, 0.986324, 0.971156, 
5.0, 0.971688, 0.904483, 0.977315, 0.932585, 0.976676, 0.960123, 0.980699, 0.956273, 0.976789, 0.960708, 0.974098, 0.946149, 0.973263, 0.957882, 0.973648, 1.000000, 0.965209, 0.993939, 0.965240, 0.986025, 0.956273, 0.975410, 0.967391, 1.000000, 0.957092, 0.956199, 0.976608, 0.992366, 0.988636, 0.982443, 0.975309, 0.969081, 0.962748, 
6.0, 0.971688, 0.904483, 0.977315, 0.932585, 0.976676, 0.960123, 0.980699, 0.956273, 0.976789, 0.960708, 0.974098, 0.946149, 0.973263, 0.957882, 0.973648, 1.000000, 0.965209, 0.993939, 0.965240, 0.986025, 0.956273, 0.975410, 0.967391, 1.000000, 0.957092, 0.956199, 0.976608, 0.992366, 0.988636, 0.982443, 0.975309, 0.969081, 0.962748, 
7.0, 0.967727, 0.888332, 0.977315, 0.924941, 0.974029, 0.953362, 0.975820, 0.951267, 0.972881, 0.956219, 0.971458, 0.940584, 0.968310, 0.953940, 0.968755, 1.000000, 0.965209, 0.993939, 0.965240, 0.981351, 0.951267, 0.971277, 0.967391, 1.000000, 0.957092, 0.947991, 0.972670, 0.992366, 0.988636, 0.982443, 0.975309, 0.965557, 0.958488, 
8.0, 0.966403, 0.888332, 0.977315, 0.924941, 0.971382, 0.953362, 0.975820, 0.951267, 0.972881, 0.956219, 0.968804, 0.940584, 0.965821, 0.953940, 0.966296, 1.000000, 0.965209, 0.993939, 0.965240, 0.981351, 0.951267, 0.971277, 0.956010, 1.000000, 0.945963, 0.943887, 0.972670, 0.992366, 0.988636, 0.982443, 0.975309, 0.965557, 0.958488, 
9.0, 0.962421, 0.872180, 0.977315, 0.909653, 0.971382, 0.939839, 0.975820, 0.941253, 0.972881, 0.947241, 0.968804, 0.923887, 0.965821, 0.942114, 0.966296, 1.000000, 0.946998, 0.993939, 0.953175, 0.981351, 0.941253, 0.971277, 0.944629, 1.000000, 0.945963, 0.939784, 0.972670, 0.992366, 0.977005, 0.978857, 0.962642, 0.965557, 0.949968, 
10.0, 0.959758, 0.872180, 0.973406, 0.909653, 0.968714, 0.939839, 0.975820, 0.941253, 0.968910, 0.942751, 0.966121, 0.923887, 0.963306, 0.942114, 0.963812, 1.000000, 0.946998, 0.993939, 0.953175, 0.976588, 0.941253, 0.967072, 0.944629, 1.000000, 0.945963, 0.939784, 0.968667, 0.992366, 0.965374, 0.978857, 0.962642, 0.965557, 0.945708, 
