time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, 
1.0, 0.983796, 0.818182, 0.996154, 1.000000, 0.935484, 0.994819, 0.941176, 0.972222, 1.000000, 0.972973, 0.994898, 
2.0, 0.949074, 0.666667, 0.984615, 0.993289, 0.903226, 0.979275, 0.852941, 0.944444, 0.993289, 0.929730, 0.979592, 
3.0, 0.928241, 0.484848, 0.984615, 0.993289, 0.806452, 0.974093, 0.794118, 0.902778, 0.993289, 0.897297, 0.974490, 
4.0, 0.912037, 0.424242, 0.984615, 0.993289, 0.741935, 0.968912, 0.735294, 0.875000, 0.993289, 0.864865, 0.969388, 
5.0, 0.905093, 0.393939, 0.984615, 0.993289, 0.677419, 0.968912, 0.676471, 0.875000, 0.993289, 0.848649, 0.969388, 
6.0, 0.900463, 0.393939, 0.984615, 0.993289, 0.677419, 0.968912, 0.676471, 0.861111, 0.993289, 0.837838, 0.969388, 
7.0, 0.898148, 0.363636, 0.984615, 0.993289, 0.645161, 0.968912, 0.647059, 0.861111, 0.993289, 0.832432, 0.969388, 
8.0, 0.884259, 0.303030, 0.973077, 0.993289, 0.612903, 0.963731, 0.617647, 0.833333, 0.993289, 0.816216, 0.964286, 
9.0, 0.879630, 0.303030, 0.969231, 0.993289, 0.580645, 0.958549, 0.588235, 0.833333, 0.993289, 0.810811, 0.959184, 
10.0, 0.870370, 0.272727, 0.965385, 0.986577, 0.580645, 0.953368, 0.588235, 0.833333, 0.986577, 0.800000, 0.954082, 
11.0, 0.865728, 0.272727, 0.965385, 0.986577, 0.548387, 0.953368, 0.558824, 0.819444, 0.986577, 0.789116, 0.954082, 
12.0, 0.858765, 0.272727, 0.961523, 0.986577, 0.483871, 0.948187, 0.529412, 0.805556, 0.986577, 0.778231, 0.948980, 
13.0, 0.849481, 0.272727, 0.949938, 0.986577, 0.483871, 0.948187, 0.529412, 0.791667, 0.986577, 0.761905, 0.948980, 
14.0, 0.844840, 0.272727, 0.949938, 0.986577, 0.483871, 0.948187, 0.529412, 0.777778, 0.986577, 0.751020, 0.948980, 
15.0, 0.835556, 0.212121, 0.949938, 0.986577, 0.451613, 0.948187, 0.470588, 0.750000, 0.986577, 0.729252, 0.948980, 
16.0, 0.833235, 0.212121, 0.946077, 0.986577, 0.451613, 0.943005, 0.470588, 0.750000, 0.986577, 0.729252, 0.943878, 
17.0, 0.830914, 0.212121, 0.946077, 0.986577, 0.451613, 0.943005, 0.441176, 0.750000, 0.986577, 0.723810, 0.943878, 
18.0, 0.828593, 0.212121, 0.946077, 0.986577, 0.451613, 0.943005, 0.441176, 0.750000, 0.986577, 0.723810, 0.943878, 
19.0, 0.826272, 0.181818, 0.946077, 0.986577, 0.419355, 0.943005, 0.411765, 0.736111, 0.986577, 0.718367, 0.943878, 
20.0, 0.821630, 0.181818, 0.938354, 0.986577, 0.419355, 0.937824, 0.411765, 0.736111, 0.986577, 0.718367, 0.938776, 
21.0, 0.819309, 0.181818, 0.938354, 0.986577, 0.419355, 0.937824, 0.411765, 0.736111, 0.986577, 0.718367, 0.938776, 
22.0, 0.816988, 0.181818, 0.934492, 0.986577, 0.419355, 0.937824, 0.411765, 0.736111, 0.986577, 0.718367, 0.938776, 
23.0, 0.814667, 0.181818, 0.930631, 0.986577, 0.419355, 0.932642, 0.411765, 0.736111, 0.986577, 0.718367, 0.933673, 
27.0, 0.812346, 0.181818, 0.926769, 0.986577, 0.419355, 0.932642, 0.411765, 0.736111, 0.986577, 0.718367, 0.933673, 
30.0, 0.807704, 0.181818, 0.919046, 0.986577, 0.419355, 0.932642, 0.411765, 0.722222, 0.986577, 0.712925, 0.933673, 
39.0, 0.805383, 0.181818, 0.919046, 0.986577, 0.387097, 0.932642, 0.382353, 0.708333, 0.986577, 0.707483, 0.933673, 
43.0, 0.800741, 0.181818, 0.915185, 0.979866, 0.387097, 0.927461, 0.382353, 0.708333, 0.979866, 0.707483, 0.928571, 
44.0, 0.798420, 0.181818, 0.911323, 0.973154, 0.387097, 0.922280, 0.382353, 0.708333, 0.973154, 0.707483, 0.923469, 
48.0, 0.796099, 0.151515, 0.911323, 0.973154, 0.387097, 0.922280, 0.382353, 0.694444, 0.973154, 0.702041, 0.923469, 
49.0, 0.793778, 0.151515, 0.907462, 0.973154, 0.387097, 0.917098, 0.382353, 0.694444, 0.973154, 0.702041, 0.918367, 
61.0, 0.789136, 0.151515, 0.903600, 0.973154, 0.354839, 0.911917, 0.382353, 0.680556, 0.973154, 0.696599, 0.913265, 
65.0, 0.786815, 0.151515, 0.899738, 0.966443, 0.354839, 0.906736, 0.382353, 0.680556, 0.966443, 0.696599, 0.908163, 
68.0, 0.784494, 0.121212, 0.899738, 0.966443, 0.354839, 0.906736, 0.382353, 0.680556, 0.966443, 0.691156, 0.908163, 
70.0, 0.782173, 0.121212, 0.899738, 0.966443, 0.354839, 0.906736, 0.382353, 0.680556, 0.966443, 0.685714, 0.908163, 
78.0, 0.779852, 0.121212, 0.895877, 0.959732, 0.354839, 0.901554, 0.382353, 0.680556, 0.959732, 0.685714, 0.903061, 
81.0, 0.777531, 0.121212, 0.892015, 0.959732, 0.354839, 0.901554, 0.382353, 0.666667, 0.959732, 0.680272, 0.903061, 
87.0, 0.775210, 0.121212, 0.892015, 0.959732, 0.354839, 0.901554, 0.382353, 0.652778, 0.959732, 0.674830, 0.903061, 
89.0, 0.772889, 0.121212, 0.892015, 0.959732, 0.354839, 0.901554, 0.382353, 0.638889, 0.959732, 0.669388, 0.903061, 
96.0, 0.770568, 0.121212, 0.892015, 0.959732, 0.354839, 0.901554, 0.382353, 0.625000, 0.959732, 0.663946, 0.903061, 
98.0, 0.768247, 0.121212, 0.888154, 0.953020, 0.354839, 0.896373, 0.382353, 0.625000, 0.953020, 0.663946, 0.897959, 
101.0, 0.765926, 0.121212, 0.884292, 0.953020, 0.354839, 0.891192, 0.382353, 0.625000, 0.953020, 0.663946, 0.892857, 
107.0, 0.763605, 0.121212, 0.880431, 0.946309, 0.354839, 0.886010, 0.382353, 0.625000, 0.946309, 0.663946, 0.887755, 
114.0, 0.761284, 0.121212, 0.880431, 0.946309, 0.322581, 0.886010, 0.382353, 0.611111, 0.946309, 0.658503, 0.887755, 
116.0, 0.758963, 0.121212, 0.876569, 0.946309, 0.322581, 0.880829, 0.382353, 0.611111, 0.946309, 0.658503, 0.882653, 
144.0, 0.756642, 0.121212, 0.872708, 0.946309, 0.322581, 0.875648, 0.382353, 0.611111, 0.946309, 0.658503, 0.877551, 
150.0, 0.754321, 0.121212, 0.868846, 0.946309, 0.322581, 0.875648, 0.382353, 0.597222, 0.946309, 0.653061, 0.877551, 
151.0, 0.752000, 0.121212, 0.864985, 0.946309, 0.322581, 0.875648, 0.382353, 0.597222, 0.946309, 0.647619, 0.877551, 
205.0, 0.749679, 0.121212, 0.861123, 0.946309, 0.322581, 0.875648, 0.382353, 0.583333, 0.946309, 0.642177, 0.877551, 
218.0, 0.747358, 0.121212, 0.857262, 0.939597, 0.322581, 0.870466, 0.382353, 0.583333, 0.939597, 0.642177, 0.872449, 
223.0, 0.745037, 0.121212, 0.857262, 0.939597, 0.290323, 0.870466, 0.382353, 0.569444, 0.939597, 0.636735, 0.872449, 
226.0, 0.742716, 0.121212, 0.857262, 0.939597, 0.290323, 0.870466, 0.382353, 0.569444, 0.939597, 0.631293, 0.872449, 
234.0, 0.740395, 0.090909, 0.857262, 0.939597, 0.290323, 0.865285, 0.382353, 0.569444, 0.939597, 0.631293, 0.867347, 
239.0, 0.738074, 0.090909, 0.857262, 0.939597, 0.290323, 0.865285, 0.382353, 0.555556, 0.939597, 0.625850, 0.867347, 
240.0, 0.735753, 0.090909, 0.853400, 0.939597, 0.290323, 0.865285, 0.382353, 0.555556, 0.939597, 0.620408, 0.867347, 
