time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
1.0, 0.981524, 0.812500, 0.996255, 1.000000, 0.936170, 0.994819, 0.941176, 0.936170, 1.000000, 0.950000, 1.000000, 0.962264, 0.995000, 0.963504, 1.000000, 0.975460, 0.995000, 
2.0, 0.946882, 0.656250, 0.985019, 0.993333, 0.914894, 0.984456, 0.852941, 0.914894, 0.993421, 0.912500, 0.987342, 0.915094, 0.985000, 0.905109, 0.993939, 0.938650, 0.985000, 
3.0, 0.926097, 0.468750, 0.985019, 0.993333, 0.829787, 0.979275, 0.794118, 0.829787, 0.993421, 0.837500, 0.987342, 0.858491, 0.980000, 0.868613, 0.993939, 0.901840, 0.980000, 
4.0, 0.916859, 0.437500, 0.985019, 0.993333, 0.787234, 0.979275, 0.764706, 0.787234, 0.993421, 0.812500, 0.987342, 0.830189, 0.980000, 0.854015, 0.993939, 0.877301, 0.980000, 
5.0, 0.909931, 0.406250, 0.985019, 0.993333, 0.744681, 0.979275, 0.705882, 0.744681, 0.993421, 0.787500, 0.987342, 0.801887, 0.980000, 0.839416, 0.993939, 0.871166, 0.980000, 
6.0, 0.905312, 0.406250, 0.985019, 0.993333, 0.723404, 0.979275, 0.705882, 0.723404, 0.993421, 0.762500, 0.987342, 0.792453, 0.980000, 0.832117, 0.993939, 0.858896, 0.980000, 
7.0, 0.900693, 0.343750, 0.985019, 0.993333, 0.702128, 0.979275, 0.676471, 0.702128, 0.993421, 0.737500, 0.987342, 0.773585, 0.980000, 0.817518, 0.993939, 0.846626, 0.980000, 
8.0, 0.886836, 0.281250, 0.973783, 0.993333, 0.680851, 0.974093, 0.647059, 0.680851, 0.993421, 0.725000, 0.981013, 0.764151, 0.970000, 0.795620, 0.993939, 0.828221, 0.975000, 
9.0, 0.882217, 0.281250, 0.970037, 0.993333, 0.659574, 0.968912, 0.617647, 0.659574, 0.993421, 0.712500, 0.981013, 0.754717, 0.965000, 0.781022, 0.993939, 0.828221, 0.970000, 
10.0, 0.868360, 0.250000, 0.958801, 0.980000, 0.659574, 0.953368, 0.617647, 0.659574, 0.980263, 0.700000, 0.968354, 0.754717, 0.950000, 0.766423, 0.981818, 0.822086, 0.955000, 
