time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
1.0, 0.981524, 0.818182, 1.000000, 0.920000, 1.000000, 0.962617, 1.000000, 0.965517, 0.995050, 0.967391, 0.995050, 1.000000, 0.925000, 0.994220, 0.942857, 
2.0, 0.949192, 0.666667, 0.990196, 0.900000, 0.993506, 0.915888, 0.993506, 0.922414, 0.980198, 0.929348, 0.980198, 0.993548, 0.900000, 0.988439, 0.885714, 
3.0, 0.928406, 0.515152, 0.990196, 0.840000, 0.993506, 0.869159, 0.993506, 0.879310, 0.975248, 0.896739, 0.975248, 0.993548, 0.825000, 0.982659, 0.828571, 
4.0, 0.916859, 0.484848, 0.990196, 0.780000, 0.993506, 0.841121, 0.993506, 0.844828, 0.970297, 0.875000, 0.970297, 0.993548, 0.775000, 0.982659, 0.771429, 
5.0, 0.909931, 0.454545, 0.990196, 0.740000, 0.993506, 0.822430, 0.993506, 0.818966, 0.970297, 0.858696, 0.970297, 0.993548, 0.725000, 0.982659, 0.714286, 
7.0, 0.905312, 0.393939, 0.990196, 0.700000, 0.993506, 0.803738, 0.993506, 0.801724, 0.970297, 0.847826, 0.970297, 0.993548, 0.700000, 0.982659, 0.685714, 
8.0, 0.891455, 0.333333, 0.980392, 0.680000, 0.993506, 0.775701, 0.993506, 0.793103, 0.965347, 0.831522, 0.965347, 0.993548, 0.675000, 0.976879, 0.657143, 
9.0, 0.889145, 0.333333, 0.975490, 0.680000, 0.993506, 0.775701, 0.993506, 0.793103, 0.960396, 0.831522, 0.960396, 0.993548, 0.675000, 0.971098, 0.657143, 
10.0, 0.875289, 0.303030, 0.960784, 0.680000, 0.980519, 0.757009, 0.980519, 0.784483, 0.945545, 0.820652, 0.945545, 0.980645, 0.650000, 0.953757, 0.657143, 
11.0, 0.870658, 0.303030, 0.960784, 0.660000, 0.980519, 0.747664, 0.980519, 0.767241, 0.945545, 0.809710, 0.945545, 0.980645, 0.625000, 0.953757, 0.628571, 
12.0, 0.866026, 0.303030, 0.955882, 0.660000, 0.980519, 0.738318, 0.980519, 0.758621, 0.940594, 0.804239, 0.940594, 0.980645, 0.600000, 0.947977, 0.628571, 
