time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, 
1.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
107.0, 0.996364, 1.000000, 0.994413, 0.977778, 1.000000, 0.988506, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
238.0, 0.996364, 1.000000, 0.994413, 0.977778, 1.000000, 0.988506, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
292.0, 0.996364, 1.000000, 0.994413, 0.977778, 1.000000, 0.988506, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
482.0, 0.996364, 1.000000, 0.994413, 0.977778, 1.000000, 0.988506, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
750.0, 0.996364, 1.000000, 0.994413, 0.977778, 1.000000, 0.988506, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
832.0, 0.992673, 1.000000, 0.988731, 0.955556, 1.000000, 0.976738, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
911.0, 0.992673, 1.000000, 0.988731, 0.955556, 1.000000, 0.976738, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
919.0, 0.992673, 1.000000, 0.988731, 0.955556, 1.000000, 0.976738, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
943.0, 0.992673, 1.000000, 0.988731, 0.955556, 1.000000, 0.976738, 1.000000, 0.986111, 1.000000, 1.000000, 0.980769, 1.000000, 0.976190, 
1053.0, 0.988942, 0.985714, 0.988731, 0.955556, 1.000000, 0.976738, 1.000000, 0.971609, 1.000000, 1.000000, 0.960754, 1.000000, 0.976190, 
1059.0, 0.985210, 0.971429, 0.988731, 0.955556, 0.991453, 0.976738, 0.991453, 0.971609, 1.000000, 1.000000, 0.960754, 1.000000, 0.976190, 
1060.0, 0.981478, 0.957143, 0.988731, 0.955556, 0.991453, 0.976738, 0.991453, 0.957108, 1.000000, 1.000000, 0.940738, 1.000000, 0.951786, 
1063.0, 0.977746, 0.957143, 0.982949, 0.955556, 0.982906, 0.976738, 0.982906, 0.957108, 1.000000, 1.000000, 0.940738, 1.000000, 0.951786, 
