time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, 
1.0, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 
107.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
238.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
292.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
438.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
482.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
750.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
911.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
919.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
943.0, 0.996337, 1.000000, 0.994152, 1.000000, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 1.000000, 0.988372, 1.000000, 1.000000, 1.000000, 
1053.0, 0.992563, 1.000000, 0.994152, 0.986842, 0.994152, 1.000000, 1.000000, 0.988506, 1.000000, 1.000000, 0.964286, 0.988372, 0.984375, 1.000000, 0.984375, 
1059.0, 0.988789, 1.000000, 0.994152, 0.973684, 0.994152, 1.000000, 0.992806, 0.988506, 0.992806, 1.000000, 0.964286, 0.988372, 0.984375, 1.000000, 0.984375, 
1060.0, 0.985015, 0.966667, 0.994152, 0.960526, 0.994152, 1.000000, 0.992806, 0.988506, 0.992806, 1.000000, 0.964286, 0.988372, 0.984375, 1.000000, 0.984375, 
1063.0, 0.981241, 0.966667, 0.988053, 0.960526, 0.988053, 1.000000, 0.985612, 0.988506, 0.985612, 1.000000, 0.964286, 0.975701, 0.984375, 1.000000, 0.984375, 
1064.0, 0.977467, 0.966667, 0.981954, 0.960526, 0.981954, 1.000000, 0.978417, 0.988506, 0.978417, 1.000000, 0.964286, 0.963029, 0.984375, 1.000000, 0.984375, 
1072.0, 0.973693, 0.933333, 0.981954, 0.947368, 0.981954, 0.977273, 0.978417, 0.976596, 0.978417, 1.000000, 0.964286, 0.963029, 0.984375, 1.000000, 0.984375, 
